system:index,DetailedQA,NDVI,longitude,latitud
0,2112,0.4651,-36.53533571462549,-6.842892998725961
1,2112,0.4679,-36.52627798679213,-6.842892998725961
2,2116,0.5104000000000001,-36.4900470754587,-6.842892998725961
3,2112,0.46,-36.526966446218154,-6.851886204648558
4,2112,0.4422,-36.51790854766173,-6.851886204648558
5,2112,0.3892,-36.508850649105305,-6.851886204648558
6,34888,0.4733,-36.499792750548885,-6.851886204648558
7,34892,0.4613,-36.49073485199246,-6.851886204648558
8,34892,0.4307,-36.48167695343603,-6.851886204648558
9,2116,0.3719,-36.47261905487961,-6.851886204648558
10,2116,0.3628,-36.46356115632318,-6.851886204648558
11,2116,0.3537,-36.45450325776676,-6.851886204648558
12,2116,0.3433,-36.44544535921034,-6.851886204648558
13,2116,0.333,-36.43638746065391,-6.851886204648558
14,2116,0.3232,-36.42732956209749,-6.851886204648558
15,2372,0.3608,-36.41827166354106,-6.851886204648558
16,2058,0.1578,-36.400155866428214,-6.851886204648558
17,2441,0.3636,-36.391097967871794,-6.851886204648558
18,2112,0.4053,-36.5185977620287,-6.860879410571156
19,2112,0.3552,-36.5095396925196,-6.860879410571156
20,34888,0.407,-36.500481623010515,-6.860879410571156
21,34892,0.4166,-36.49142355350143,-6.860879410571156
22,34892,0.4346,-36.48236548399234,-6.860879410571156
23,2116,0.4061,-36.47330741448325,-6.860879410571156
24,2116,0.3725,-36.46424934497416,-6.860879410571156
25,2116,0.3414,-36.45519127546507,-6.860879410571156
26,2116,0.3496,-36.44613320595598,-6.860879410571156
27,2116,0.3462,-36.437075136446886,-6.860879410571156
28,2116,0.3429,-36.428017066937805,-6.860879410571156
29,2112,0.3736,-36.4189589974287,-6.860879410571156
30,2372,0.336,-36.40990092791962,-6.860879410571156
31,35148,0.2615,-36.40084285841053,-6.860879410571156
32,35148,0.2357,-36.39178478890144,-6.860879410571156
33,2112,0.3983,-36.519287902146054,-6.869872616493754
34,2112,0.4056,-36.510229661454666,-6.869872616493754
35,2112,0.3797,-36.50117142076329,-6.869872616493754
36,2112,0.4118,-36.49211318007191,-6.869872616493754
37,2112,0.4547,-36.48305493938053,-6.869872616493754
38,2112,0.4609,-36.473996698689156,-6.869872616493754
39,2376,0.4201,-36.464938457997775,-6.869872616493754
40,2376,0.387,-36.455880217306394,-6.869872616493754
41,2372,0.3532,-36.44682197661503,-6.869872616493754
42,2116,0.3593,-36.43776373592364,-6.869872616493754
43,2116,0.3629,-36.42870549523226,-6.869872616493754
44,2372,0.3724,-36.419647254540884,-6.869872616493754
45,35144,0.3305,-36.4105890138495,-6.869872616493754
46,34888,0.3313,-36.40153077315812,-6.869872616493754
47,35148,0.2923,-36.39247253246675,-6.869872616493754
48,2112,0.3462,-36.51092055599697,-6.878865822416351
49,2112,0.3449,-36.50186214389366,-6.878865822416351
50,2112,0.3683,-36.492803731790346,-6.878865822416351
51,2112,0.4555,-36.48374531968704,-6.878865822416351
52,2376,0.4866,-36.47468690758373,-6.878865822416351
53,2376,0.4458,-36.46562849548041,-6.878865822416351
54,2376,0.432,-36.4565700833771,-6.878865822416351
55,2372,0.3935,-36.44751167127379,-6.878865822416351
56,2372,0.3818,-36.43845325917047,-6.878865822416351
57,2445,0.4761,-36.42939484706716,-6.878865822416351
58,2372,0.3941,-36.42033643496384,-6.878865822416351
59,2181,0.2544,-36.411278022860536,-6.878865822416351
60,2181,0.3275,-36.40221961075723,-6.878865822416351
61,2372,0.3222,-36.39316119865391,-6.878865822416351
62,2181,0.2926,-36.50255379248819,-6.88785902833895
63,2112,0.3317,-36.493495208743276,-6.88785902833895
64,2112,0.3767,-36.48443662499837,-6.88785902833895
65,34888,0.3856,-36.47537804125346,-6.88785902833895
66,34888,0.3477,-36.46631945750855,-6.88785902833895
67,35148,0.4624,-36.45726087376363,-6.88785902833895
68,2441,0.4411,-36.44820229001873,-6.88785902833895
69,2441,0.4192,-36.4391437062738,-6.88785902833895
70,2372,0.4591,-36.4300851225289,-6.88785902833895
71,2372,0.3902,-36.421026538783984,-6.88785902833895
72,2181,0.3058,-36.411967955039074,-6.88785902833895
73,2181,0.2823,-36.402909371294164,-6.88785902833895
74,2372,0.3443,-36.393850787549255,-6.88785902833895
75,2058,0.2665,-36.38479220380434,-6.88785902833895
76,34888,0.3896,-36.503246366633576,-6.896852234261547
77,2372,0.3471,-36.49418761101737,-6.896852234261547
