system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water,date
0,0.4651,-36.53533571462549,-6.842892998725961,goodQA,highest,low,no,land,2010-01-01
1,0.4679,-36.52627798679213,-6.842892998725961,goodQA,highest,low,no,land,2010-01-01
2,0.5104000000000001,-36.4900470754587,-6.842892998725961,goodQA,lower,low,no,land,2010-01-01
3,0.46,-36.52696644621816,-6.851886204648558,goodQA,highest,low,no,land,2010-01-01
4,0.4422,-36.51790854766173,-6.851886204648558,goodQA,highest,low,no,land,2010-01-01
5,0.3892,-36.508850649105305,-6.851886204648558,goodQA,highest,low,no,land,2010-01-01
6,0.4733,-36.499792750548885,-6.851886204648558,goodQA,decreasing1,low,no,land,2010-01-01
7,0.4613,-36.49073485199246,-6.851886204648558,goodQA,decreasing2,low,no,land,2010-01-01
8,0.4307,-36.48167695343603,-6.851886204648558,goodQA,decreasing2,low,no,land,2010-01-01
9,0.3719,-36.47261905487961,-6.851886204648558,goodQA,lower,low,no,land,2010-01-01
10,0.3628,-36.46356115632318,-6.851886204648558,goodQA,lower,low,no,land,2010-01-01
11,0.3537,-36.45450325776676,-6.851886204648558,goodQA,lower,low,no,land,2010-01-01
12,0.3433,-36.44544535921034,-6.851886204648558,goodQA,lower,low,no,land,2010-01-01
13,0.333,-36.43638746065391,-6.851886204648558,goodQA,lower,low,no,land,2010-01-01
14,0.3232,-36.42732956209749,-6.851886204648558,goodQA,lower,low,no,land,2010-01-01
15,0.3608,-36.41827166354106,-6.851886204648558,goodQA,lower,low,yes,land,2010-01-01
16,0.1578,-36.40015586642821,-6.851886204648558,cloudy,decreasing1,correction,no,land,2010-01-01
17,0.3636,-36.391097967871794,-6.851886204648558,regularQA,decreasing1,intermediate,yes,land,2010-01-01
18,0.4053,-36.5185977620287,-6.860879410571156,goodQA,highest,low,no,land,2010-01-01
19,0.3552,-36.5095396925196,-6.860879410571156,goodQA,highest,low,no,land,2010-01-01
20,0.407,-36.50048162301052,-6.860879410571156,goodQA,decreasing1,low,no,land,2010-01-01
21,0.4166,-36.49142355350143,-6.860879410571156,goodQA,decreasing2,low,no,land,2010-01-01
22,0.4346,-36.48236548399234,-6.860879410571156,goodQA,decreasing2,low,no,land,2010-01-01
23,0.4061,-36.47330741448325,-6.860879410571156,goodQA,lower,low,no,land,2010-01-01
24,0.3725,-36.46424934497416,-6.860879410571156,goodQA,lower,low,no,land,2010-01-01
25,0.3414,-36.45519127546507,-6.860879410571156,goodQA,lower,low,no,land,2010-01-01
26,0.3496,-36.44613320595598,-6.860879410571156,goodQA,lower,low,no,land,2010-01-01
27,0.3462,-36.437075136446886,-6.860879410571156,goodQA,lower,low,no,land,2010-01-01
28,0.3429,-36.428017066937805,-6.860879410571156,goodQA,lower,low,no,land,2010-01-01
29,0.3736,-36.4189589974287,-6.860879410571156,goodQA,highest,low,no,land,2010-01-01
30,0.336,-36.40990092791962,-6.860879410571156,goodQA,lower,low,yes,land,2010-01-01
31,0.2615,-36.40084285841053,-6.860879410571156,goodQA,decreasing2,low,yes,land,2010-01-01
32,0.2357,-36.39178478890144,-6.860879410571156,goodQA,decreasing2,low,yes,land,2010-01-01
33,0.3983,-36.51928790214605,-6.869872616493754,goodQA,highest,low,no,land,2010-01-01
34,0.4056,-36.510229661454666,-6.869872616493754,goodQA,highest,low,no,land,2010-01-01
35,0.3797,-36.50117142076329,-6.869872616493754,goodQA,highest,low,no,land,2010-01-01
36,0.4118,-36.49211318007191,-6.869872616493754,goodQA,highest,low,no,land,2010-01-01
37,0.4547,-36.48305493938053,-6.869872616493754,goodQA,highest,low,no,land,2010-01-01
38,0.4609,-36.47399669868916,-6.869872616493754,goodQA,highest,low,no,land,2010-01-01
39,0.4201,-36.464938457997775,-6.869872616493754,goodQA,decreasing1,low,yes,land,2010-01-01
40,0.387,-36.4558802173064,-6.869872616493754,goodQA,decreasing1,low,yes,land,2010-01-01
41,0.3532,-36.44682197661503,-6.869872616493754,goodQA,lower,low,yes,land,2010-01-01
42,0.3593,-36.43776373592364,-6.869872616493754,goodQA,lower,low,no,land,2010-01-01
43,0.3629,-36.42870549523226,-6.869872616493754,goodQA,lower,low,no,land,2010-01-01
44,0.3724,-36.41964725454088,-6.869872616493754,goodQA,lower,low,yes,land,2010-01-01
45,0.3305,-36.4105890138495,-6.869872616493754,goodQA,decreasing1,low,yes,land,2010-01-01
46,0.3313,-36.40153077315812,-6.869872616493754,goodQA,decreasing1,low,no,land,2010-01-01
47,0.2923,-36.39247253246675,-6.869872616493754,goodQA,decreasing2,low,yes,land,2010-01-01
48,0.3462,-36.51092055599697,-6.878865822416351,goodQA,highest,low,no,land,2010-01-01
49,0.3449,-36.50186214389366,-6.878865822416351,goodQA,highest,low,no,land,2010-01-01
50,0.3683,-36.492803731790346,-6.878865822416351,goodQA,highest,low,no,land,2010-01-01
51,0.4555,-36.48374531968704,-6.878865822416351,goodQA,highest,low,no,land,2010-01-01
52,0.4866,-36.47468690758373,-6.878865822416351,goodQA,decreasing1,low,yes,land,2010-01-01
53,0.4458,-36.46562849548041,-6.878865822416351,goodQA,decreasing1,low,yes,land,2010-01-01
54,0.432,-36.4565700833771,-6.878865822416351,goodQA,decreasing1,low,yes,land,2010-01-01
55,0.3935,-36.44751167127379,-6.878865822416351,goodQA,lower,low,yes,land,2010-01-01
56,0.3818,-36.43845325917047,-6.878865822416351,goodQA,lower,low,yes,land,2010-01-01
57,0.4761,-36.42939484706716,-6.878865822416351,regularQA,decreasing2,intermediate,yes,land,2010-01-01
58,0.3941,-36.42033643496384,-6.878865822416351,goodQA,lower,low,yes,land,2010-01-01
59,0.2544,-36.411278022860536,-6.878865822416351,regularQA,lower,intermediate,no,land,2010-01-01
60,0.3275,-36.40221961075723,-6.878865822416351,regularQA,lower,intermediate,no,land,2010-01-01
61,0.3222,-36.39316119865391,-6.878865822416351,goodQA,lower,low,yes,land,2010-01-01
62,0.2926,-36.50255379248819,-6.88785902833895,regularQA,lower,intermediate,no,land,2010-01-01
63,0.3317,-36.49349520874328,-6.88785902833895,goodQA,highest,low,no,land,2010-01-01
64,0.3767,-36.48443662499837,-6.88785902833895,goodQA,highest,low,no,land,2010-01-01
65,0.3856,-36.47537804125346,-6.88785902833895,goodQA,decreasing1,low,no,land,2010-01-01
66,0.3477,-36.46631945750855,-6.88785902833895,goodQA,decreasing1,low,no,land,2010-01-01
67,0.4624,-36.45726087376363,-6.88785902833895,goodQA,decreasing2,low,yes,land,2010-01-01
68,0.4411,-36.44820229001873,-6.88785902833895,regularQA,decreasing1,intermediate,yes,land,2010-01-01
69,0.4192,-36.4391437062738,-6.88785902833895,regularQA,decreasing1,intermediate,yes,land,2010-01-01
70,0.4591,-36.4300851225289,-6.88785902833895,goodQA,lower,low,yes,land,2010-01-01
