system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water,QA_snow
0,0.7277,-36.53536976649717,-6.843337985549752,goodQA,lower,low,yes,land,no
1,0.756,-36.52631203022179,-6.843337985549752,goodQA,highest,low,no,land,no
2,0.8131,-36.4900810851202,-6.843337985549752,regularQA,decreasing3,intermediate,yes,land,no
3,0.7453000000000001,-36.527000535459294,-6.8523311914723495,goodQA,highest,low,no,land,no
4,0.7014,-36.51794262844948,-6.8523311914723495,goodQA,lower,low,yes,land,no
5,0.7113,-36.50888472143966,-6.8523311914723495,regularQA,decreasing3,intermediate,yes,land,no
6,0.6158,-36.49982681442984,-6.8523311914723495,regularQA,decreasing3,high,yes,land,no
7,0.7749,-36.49076890742001,-6.8523311914723495,regularQA,decreasing1,intermediate,yes,land,no
8,0.7619,-36.4817110004102,-6.8523311914723495,regularQA,decreasing1,intermediate,yes,land,no
9,0.7156,-36.47265309340038,-6.8523311914723495,regularQA,decreasing1,intermediate,yes,land,no
10,0.6524,-36.463595186390556,-6.8523311914723495,regularQA,decreasing1,intermediate,yes,land,no
11,0.8218000000000001,-36.454537279380745,-6.8523311914723495,regularQA,decreasing4,intermediate,yes,land,no
12,0.8005,-36.445479372370926,-6.8523311914723495,regularQA,decreasing4,intermediate,yes,land,no
13,0.8062,-36.4364214653611,-6.8523311914723495,regularQA,decreasing4,intermediate,yes,land,no
14,0.7922,-36.42736355835128,-6.8523311914723495,regularQA,decreasing4,intermediate,yes,land,no
15,0.6653,-36.41830565134146,-6.8523311914723495,goodQA,lower,low,yes,land,no
16,0.6707000000000001,-36.40018983732183,-6.8523311914723495,goodQA,highest,low,no,land,no
17,0.6596000000000001,-36.39113193031201,-6.8523311914723495,goodQA,highest,low,no,land,no
18,0.6958000000000001,-36.51863188862085,-6.861324397394947,goodQA,highest,low,no,land,no
19,0.6809000000000001,-36.509573810647,-6.861324397394947,regularQA,lower,intermediate,no,land,no
20,0.633,-36.50051573267316,-6.861324397394947,regularQA,lower,intermediate,no,land,no
21,0.7313000000000001,-36.4914576546993,-6.861324397394947,regularQA,decreasing1,intermediate,yes,land,no
22,0.7180000000000001,-36.48239957672546,-6.861324397394947,regularQA,decreasing1,intermediate,yes,land,no
23,0.5244,-36.47334149875162,-6.861324397394947,cloudy,decreasing4,correction,no,land,no
24,0.7111000000000001,-36.46428342077777,-6.861324397394947,regularQA,decreasing3,intermediate,yes,land,no
25,0.7257,-36.45522534280393,-6.861324397394947,regularQA,decreasing3,intermediate,yes,land,no
