system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water
0,0.3445,-36.53536976649717,-6.843337985549752,goodQA,highest,low,no,land
1,0.3075,-36.52631203022179,-6.843337985549752,goodQA,highest,low,no,land
2,0.4005,-36.4900810851202,-6.843337985549752,goodQA,highest,low,no,land
3,0.3275,-36.527000535459294,-6.8523311914723495,goodQA,highest,low,no,land
4,0.3022,-36.51794262844948,-6.8523311914723495,goodQA,highest,low,no,land
5,0.3132,-36.50888472143966,-6.8523311914723495,goodQA,highest,low,no,land
6,0.3384,-36.49982681442984,-6.8523311914723495,goodQA,highest,low,no,land
7,0.3721,-36.49076890742001,-6.8523311914723495,goodQA,highest,low,no,land
8,0.4199,-36.4817110004102,-6.8523311914723495,goodQA,highest,low,no,land
9,0.445,-36.47265309340038,-6.8523311914723495,goodQA,highest,low,no,land
10,0.4689,-36.463595186390556,-6.8523311914723495,goodQA,highest,low,no,land
11,0.5086,-36.454537279380745,-6.8523311914723495,goodQA,highest,low,no,land
12,0.5283,-36.445479372370926,-6.8523311914723495,goodQA,highest,low,no,land
13,0.5012,-36.4364214653611,-6.8523311914723495,goodQA,highest,low,no,land
14,0.4949,-36.42736355835128,-6.8523311914723495,goodQA,highest,low,no,land
15,0.4178,-36.41830565134146,-6.8523311914723495,goodQA,highest,low,no,land
16,0.3691,-36.40018983732183,-6.8523311914723495,goodQA,highest,low,no,land
17,0.3313,-36.39113193031201,-6.8523311914723495,goodQA,highest,low,no,land
18,0.3318,-36.51863188862085,-6.861324397394947,goodQA,highest,low,no,land
19,0.3219,-36.509573810647,-6.861324397394947,goodQA,highest,low,no,land
20,0.336,-36.50051573267316,-6.861324397394947,goodQA,highest,low,no,land
21,0.3851,-36.4914576546993,-6.861324397394947,goodQA,highest,low,no,land
22,0.4232,-36.48239957672546,-6.861324397394947,goodQA,highest,low,no,land
23,0.4139,-36.47334149875162,-6.861324397394947,goodQA,highest,low,no,land
24,0.4377,-36.46428342077777,-6.861324397394947,goodQA,highest,low,no,land
25,0.4068,-36.45522534280393,-6.861324397394947,goodQA,highest,low,no,land
26,0.4555,-36.44616726483008,-6.861324397394947,goodQA,highest,low,no,land
27,0.4202,-36.43710918685623,-6.861324397394947,goodQA,highest,low,no,land
28,0.4562,-36.428051108882386,-6.861324397394947,goodQA,highest,low,no,land
29,0.4132,-36.41899303090853,-6.861324397394947,goodQA,highest,low,no,land
30,0.401,-36.40993495293469,-6.861324397394947,goodQA,highest,low,no,land
31,0.3287,-36.400876874960844,-6.861324397394947,goodQA,highest,low,no,land
32,0.3102,-36.391818796987,-6.861324397394947,goodQA,highest,low,no,land
33,0.3317,-36.519322074546885,-6.870317603317545,goodQA,highest,low,no,land
